City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Herat,AF,34.5,62.0,43.52,55,0,1.1,clear sky
204,Lompoc,US,34.64,-120.46,66.2,59,90,9.17,overcast clouds
205,Husavik,IS,66.04,-17.34,42.8,81,75,9.17,broken clouds
206,Parsabad,IR,39.65,47.92,55.4,87,0,4.7,clear sky
207,Olafsvik,IS,64.89,-23.71,42.75,82,100,27.51,overcast clouds
208,Deputatskiy,RU,69.3,139.9,5.32,89,2,6.22,clear sky
209,Chokurdakh,RU,70.63,147.92,6.03,93,0,9.89,clear sky
210,Huilong,CN,31.81,121.66,63.0,89,86,5.77,overcast clouds
211,Seminole,US,28.71,-81.21,86.0,62,90,8.05,overcast clouds
212,Bilma,NE,18.69,12.92,75.34,19,0,5.82,clear sky
213,Kuala Terengganu,MY,5.33,103.14,75.2,100,20,3.36,light rain
214,Kavieng,PG,-2.57,150.8,81.82,74,100,1.81,light rain
215,Poum,NC,-20.23,164.02,76.51,75,30,17.18,scattered clouds
216,Chenzhou,CN,25.8,113.03,62.6,71,72,1.7,broken clouds
217,Whitehorse,CA,60.72,-135.05,27.0,79,90,4.7,overcast clouds
218,Vila Velha,BR,-20.33,-40.29,75.0,94,90,8.05,light rain
219,Grand Gaube,MU,-20.01,57.66,70.0,90,41,5.99,light rain
220,Nemuro,JP,43.32,145.57,48.78,72,0,17.96,clear sky
221,Cananeia,BR,-25.01,-47.93,74.66,82,31,6.31,scattered clouds
222,Rome,US,34.26,-85.16,73.4,73,90,1.3,overcast clouds
223,Kodiak,US,57.79,-152.41,48.2,87,90,17.22,moderate rain
224,Jega,NG,12.22,4.38,82.44,25,3,5.99,clear sky
225,Fortuna,US,40.6,-124.16,57.99,76,75,5.82,broken clouds
226,Namie,JP,37.48,141.0,52.0,84,100,9.66,overcast clouds
227,Paamiut,GL,61.99,-49.67,34.63,95,95,24.43,overcast clouds
228,Namibe,AO,-15.2,12.15,68.83,79,52,4.65,broken clouds
229,Coihaique,CL,-45.58,-72.07,51.8,57,75,5.82,broken clouds
230,Codrington,AU,-38.27,141.97,47.46,71,1,14.79,clear sky
231,Faanui,PF,-16.48,-151.75,80.02,69,0,4.61,clear sky
232,Kulhudhuffushi,MV,6.62,73.07,79.54,84,100,11.43,moderate rain
233,Bitam,GA,2.08,11.5,69.4,97,97,2.93,light rain
234,Senneterre,CA,48.38,-77.23,33.8,64,90,4.7,overcast clouds
235,Vao,NC,-22.67,167.48,72.18,78,12,12.35,few clouds
236,Bathsheba,BB,13.22,-59.52,87.8,66,40,18.34,scattered clouds
237,Kinango,KE,-4.14,39.32,80.6,78,20,5.82,few clouds
238,Zhenjiang,CN,32.21,119.43,59.0,90,17,3.87,few clouds
239,Yellowknife,CA,62.46,-114.35,30.0,74,75,8.05,broken clouds
240,Sisimiut,GL,66.94,-53.67,21.31,86,98,7.78,overcast clouds
241,Jaru,BR,-10.44,-62.47,90.73,48,45,5.19,scattered clouds
242,Syamzha,RU,60.02,41.06,29.8,98,0,5.88,clear sky
243,Elizabeth City,US,36.29,-76.25,68.0,94,90,17.22,overcast clouds
244,Swellendam,ZA,-34.02,20.44,64.4,68,100,4.7,overcast clouds
245,Leningradskiy,RU,69.38,178.42,23.5,89,49,6.11,scattered clouds
246,Normandin,CA,48.83,-72.53,35.6,55,75,5.82,shower rain
247,Ogaminana,NG,7.59,6.22,77.41,72,100,2.8,overcast clouds
248,San Quintin,MX,30.48,-115.95,70.07,60,63,12.06,broken clouds
249,Kachug,RU,53.96,105.88,23.43,91,61,9.35,broken clouds
250,Rio Gallegos,AR,-51.62,-69.22,57.2,47,75,12.75,broken clouds
251,Kuching,MY,1.55,110.33,75.2,94,40,3.2,scattered clouds
252,Coquimbo,CL,-29.95,-71.34,66.2,55,0,16.11,clear sky
253,Kruisfontein,ZA,-34.0,24.73,62.01,90,100,10.67,light rain
254,Norfolk,US,42.17,-71.25,51.01,61,100,9.17,overcast clouds
255,Kahului,US,20.89,-156.47,87.8,52,20,4.7,few clouds
256,Elko,US,41.0,-115.5,35.6,29,1,12.75,clear sky
257,Sept-Iles,CA,50.2,-66.38,37.99,43,75,11.41,broken clouds
258,Tsaratanana,MG,-16.78,47.65,72.86,57,1,8.23,clear sky
259,Touros,BR,-5.2,-35.46,84.2,70,40,16.11,scattered clouds
260,Manicore,BR,-5.81,-61.3,93.78,44,37,2.33,scattered clouds
261,Mosquera,CO,4.71,-74.23,64.4,63,75,9.17,shower rain
262,Dingle,PH,11.0,122.67,75.29,92,100,18.3,heavy intensity rain
263,Nangomba,TZ,-10.9,38.5,76.89,67,91,7.61,overcast clouds
264,Dinard,FR,48.63,-2.06,48.2,87,0,12.75,clear sky
265,Port Blair,IN,11.67,92.75,79.2,82,48,2.35,moderate rain
266,Yerbogachen,RU,61.28,108.01,24.06,91,100,2.82,overcast clouds
267,Krasnorechenskiy,RU,44.63,135.35,30.79,96,3,6.22,clear sky
268,Tianpeng,CN,30.99,103.94,68.0,1,99,0.51,overcast clouds
269,Okato,NZ,-39.2,173.88,62.01,88,71,5.01,broken clouds
270,Ziyang,CN,29.25,117.85,59.95,69,100,1.61,light rain
271,Ponta Do Sol,PT,32.67,-17.1,66.2,72,20,3.36,few clouds
272,Tornio,FI,65.85,24.15,32.0,90,90,10.29,snow
273,Jieshi,CN,22.81,115.83,70.0,81,100,16.64,overcast clouds
274,Sumbe,AO,-11.21,13.84,75.74,86,88,5.21,overcast clouds
275,Marawi,PH,8.0,124.29,73.99,92,100,3.0,overcast clouds
276,Birin,NP,26.89,88.07,56.89,100,1,1.95,light rain
277,Road Town,VG,18.42,-64.62,86.0,74,40,9.17,scattered clouds
278,Huarmey,PE,-10.07,-78.15,69.71,67,6,11.27,clear sky
279,Nome,US,64.5,-165.41,37.4,86,90,4.7,overcast clouds
280,Port Said,EG,31.26,32.28,77.0,78,0,11.41,clear sky
281,San Rafael,AR,-34.62,-68.33,70.57,25,0,11.23,clear sky
282,Constitucion,CL,-35.33,-72.42,59.34,56,0,19.04,clear sky
283,Inhambane,MZ,-23.86,35.38,75.2,88,20,8.05,few clouds
284,Rosario Oeste,BR,-14.84,-56.43,93.54,40,54,10.67,broken clouds
285,Bilibino,RU,68.05,166.44,14.85,92,98,2.15,overcast clouds
286,Talaya,RU,61.38,152.75,23.11,95,100,7.49,overcast clouds
287,Zhigansk,RU,66.77,123.37,-1.91,88,0,5.23,clear sky
288,Portland,US,45.52,-122.68,46.0,28,20,17.22,few clouds
289,Saskylakh,RU,71.92,114.08,8.87,93,100,12.17,overcast clouds
290,Xam Nua,LA,20.42,104.04,60.93,93,100,1.21,overcast clouds
291,Dobson,US,36.4,-80.72,55.4,87,90,6.93,overcast clouds
292,Pangai,TO,-19.8,-174.35,75.2,94,90,20.8,light intensity shower rain
293,Tazovskiy,RU,67.47,78.7,6.26,95,0,5.99,clear sky
294,Ilulissat,GL,69.22,-51.1,15.8,52,43,6.93,scattered clouds
295,Canatlan,MX,24.52,-104.78,81.0,25,0,5.99,clear sky
296,Fuyang,CN,32.9,115.82,59.94,63,100,2.73,overcast clouds
297,Anadyr,RU,64.75,177.48,23.0,100,90,4.47,light snow
298,Kyshtovka,RU,56.55,76.63,34.59,97,100,5.95,overcast clouds
299,Asahikawa,JP,43.77,142.37,44.15,83,61,3.18,broken clouds
300,Kieta,PG,-6.22,155.63,79.07,74,42,2.06,scattered clouds
301,Los Llanos De Aridane,ES,28.66,-17.92,71.6,64,40,11.41,scattered clouds
302,Groningen,NL,53.25,6.75,52.0,93,72,8.05,broken clouds
303,Aswan,EG,24.09,32.91,76.78,29,0,13.31,clear sky
304,Lae,PG,-6.72,146.98,74.71,85,100,4.65,moderate rain
305,Klaksvik,FO,62.23,-6.59,44.6,87,0,8.05,clear sky
306,Muana,BR,-1.53,-49.22,92.86,40,3,5.88,clear sky
307,Aykhal,RU,66.0,111.5,-4.0,91,0,2.24,clear sky
308,San Ignacio,BZ,17.16,-89.07,87.8,66,40,6.93,scattered clouds
309,Alyangula,AU,-13.85,136.42,80.6,88,75,4.7,light intensity shower rain
310,Conakry,GN,9.54,-13.68,80.78,85,27,9.73,scattered clouds
